Gender,Age,Attendance,Study_Hours,Internal_Marks,Previous_Grade,Absences,Result
Female,18,57.9,13.5,43,A,12,Pass
Male,20,55.4,3.7,29,C,13,Fail
Female,23,40,6.3,29,C,19,Fail
Male,19,40,5.4,23,F,17,Fail
Female,21,47.6,11.8,36,C,14,Pass
Male,23,76.7,3.6,36,B,7,Pass
Female,24,70.1,3.7,34,C,9,Fail
Female,21,79.2,2.4,34,B,7,Fail
Male,19,40,8.6,28,D,20,Fail
Female,23,92.4,6.7,41,C,3,Pass
Male,24,70.6,3.2,37.9,C,8,Fail
Female,23,42.9,2.8,24,D,16,Fail
Female,24,44.5,14.3,37.9,A,15,Pass
Female,18,89.2,5.1,37,B,3,Pass
Female,23,45.4,13.7,40,C,15,Pass
Male,18,53.2,5.9,32,C,13,Fail
Female,19,46.3,8.3,32,C,15,Fail
Male,23,50.8,5.3,31,D,13,Fail
Male,24,86,15.5,50,A,4,Pass
Female,17,57.5,12.1,43,A,13,Pass
Female,18,40,13.9,37,C,17,Pass
Female,20,58.3,12.5,43,A,13,Pass
Male,22,67.4,13.1,45,A,9,Pass
Male,19,59,3.1,26,C,12,Fail
Male,24,40,14.6,39,C,17,Pass
Female,24,83,13.8,50,A,6,Pass
Female,17,56.2,15.7,46,A,12,Pass
Female,20,59.3,10.5,37,C,11,Pass
Male,18,40,14.6,40,B,20,Pass
Female,22,80.1,12.5,50,B,5,Pass
Female,24,70.5,15.5,48,A,9,Pass
Male,23,40,15.5,42,A,17,Pass
Female,23,58.4,13.5,42,A,11,Pass
Male,18,54.3,10.9,36,C,14,Pass
Female,18,40,3.4,22,F,17,Fail
Male,24,68.3,10.6,41,C,8,Pass
Female,22,69.5,2.8,28,D,8,Fail
Male,17,79.4,13,50,A,7,Pass
Male,20,88.3,6.6,42,B,4,Pass
Female,19,64.5,3.5,39,B,0,Pass
Male,23,92.8,9.4,49,A,2,Pass
Female,24,96.5,11,50,B,0,Pass
Female,18,65.9,14.6,44,B,10,Pass
Female,21,40,8.4,31,C,19,Fail
Male,23,74.8,8.3,42,B,7,Pass
Female,22,44,15.4,44,A,15,Pass
Male,17,41,10.2,34,C,17,Fail
Male,21,58.3,10.4,39,B,11,Pass
Female,18,40,12.7,36,B,18,Fail
Male,19,71.9,5.8,34,B,9,Pass
Male,17,41.7,3.3,23,F,16,Fail
Male,17,40,4.2,20,F,19,Fail
Female,20,88.3,12.6,48,B,3,Pass
Male,17,64.5,4.9,38,C,6,Pass
Male,19,75.5,7.3,41,C,7,Pass
Male,24,65.6,14.9,48,B,10,Pass
Male,24,58.2,13.6,46,A,11,Pass
Female,22,79.1,5.1,38,B,5,Pass
Male,20,69.6,3.4,32,B,8,Fail
Female,22,40,14.1,37,C,20,Pass
Male,22,68.2,9.1,37,C,9,Pass
Male,23,44.1,8.5,32,B,17,Fail
Female,24,96.1,9,49,B,1,Pass
Male,20,51.2,11.9,39,C,14,Pass
Female,17,40,13,34,C,20,Fail
Male,22,89.3,3.1,35,C,4,Pass
Female,22,40.7,9,39,C,16,Pass
Female,24,83.2,4.7,36,B,4,Pass
Male,22,40,14.3,37,B,19,Pass
Male,24,62.9,2.6,26,D,11,Fail
Male,20,50.7,6.3,28,D,15,Fail
Female,19,40,13.4,35,C,19,Fail
Male,21,80.7,3.2,37,B,5,Pass
Female,22,50.9,15,44,A,13,Pass
Female,18,40,13.7,34,B,20,Fail
Male,24,100,8.3,45,A,0,Pass
Female,18,73.9,12.9,44,B,7,Pass
Female,17,40,9,31,D,18,Fail
Male,18,58,9.3,37,B,11,Pass
Female,21,63.8,12.5,42,A,11,Pass
Male,22,40,9.6,32,C,20,Fail
Male,18,47.3,12,36,B,14,Pass
Female,24,40,5.5,23,D,20,Fail
Female,23,54.2,14.5,42,A,14,Pass
Female,18,92.4,12.2,50,A,2,Pass
Female,21,51.8,8.2,33,C,13,Fail
Female,21,93.1,11,50,B,1,Pass
Male,19,47.3,13.9,38,C,14,Pass
Male,24,61.1,15.3,44,A,11,Pass
Male,18,82.5,2.4,33,B,5,Pass
Female,24,88.8,4.8,38,C,4,Pass
Female,22,40.8,11.9,38,B,17,Pass
Female,20,81.3,3.7,33,C,6,Pass
Male,18,62,2.9,29,D,12,Fail
Female,18,42.8,8.3,33,B,16,Fail
Male,18,65.8,9.3,38,B,9,Pass
Male,21,40,4.7,25,C,17,Fail
Male,19,40,11.2,36,B,19,Fail
Female,20,55.4,12.7,38,C,13,Pass
Female,21,93.8,8.3,46,B,1,Pass
Female,22,88.1,15.7,50,A,4,Pass
Male,19,72.1,3.4,34,C,9,Fail
Female,22,82.5,4.7,37,C,5,Pass
Female,24,79.7,15.5,49,B,6,Pass
Female,21,88.9,9.5,48,B,3,Pass
Male,22,92.1,9.7,47,B,2,Pass
Male,18,65.5,7.5,35,B,10,Pass
Male,17,67.4,3.9,31,C,10,Fail
Female,19,40,7.5,27,D,19,Fail
Female,24,60.1,13.4,41,C,11,Pass
Male,24,40,5.7,26,C,20,Fail
Female,19,71.8,13.5,50,A,7,Pass
Female,20,40,7.7,30,C,19,Fail
Female,23,82.2,6.4,40,C,5,Pass
Female,24,73.7,4.7,33,C,7,Pass
Female,22,44,8.7,33,C,17,Fail
Female,22,84.3,15.4,50,A,4,Pass
Female,20,40,4.8,25,D,17,Fail
Male,17,41.8,11.4,34,B,16,Fail
Male,17,81.8,15.5,50,B,5,Pass
Female,21,94.2,11,48,A,2,Pass
Male,17,64.5,16,45,B,12,Pass
Male,22,40,6,25,C,20,Fail
Male,22,52.2,4.3,29,C,14,Fail
Male,19,40,10.6,34,C,20,Fail
Male,24,71.6,6.5,36,C,7,Pass
Male,21,72,11.2,42,B,7,Pass
Female,18,67.4,10.9,40,B,9,Pass
Female,23,49.6,11.8,39,B,15,Pass
Male,24,58.1,9.4,38,B,11,Pass
Male,19,43.5,6.6,30,D,16,Fail
Female,19,51.5,9.2,35,C,14,Fail
Male,18,63.1,2.6,28,C,11,Fail
Male,21,88.1,7.7,46,B,4,Pass
Female,23,40,3.1,24,C,17,Fail
Male,17,68.2,12.6,46,B,9,Pass
Female,19,85.8,5.9,41,B,3,Pass
Female,17,95.7,5.4,40,B,1,Pass
Female,20,40,13.4,38,C,18,Pass
Male,23,97,6.2,44,A,1,Pass
Female,23,66.6,13,44,B,10,Pass
Male,21,88.4,14,50,B,4,Pass
Male,21,40,4.8,23,F,20,Fail
Female,23,40,11.4,31,C,19,Fail
Male,20,91.5,15.1,50,A,3,Pass
Male,22,57.7,12.9,43,B,12,Pass
Male,24,68.3,12.7,44,B,10,Pass
Male,21,40,9.7,31,C,18,Fail
Male,24,63.1,9.7,41,C,10,Pass
Male,24,44.4,4.6,28,C,17,Fail
Male,17,40,7.8,29,C,20,Fail
Female,24,40.9,2.2,18,F,17,Fail
Female,19,89.7,3.5,36,C,3,Pass
Female,23,79.4,8.4,39,B,7,Pass
Male,23,40.3,7.3,29,C,17,Fail
Female,18,94.3,14.5,50,B,1,Pass
Female,17,61.1,4.5,29,C,10,Fail
Male,21,76,4.3,36,C,7,Pass
Male,22,52.4,2.8,23,F,13,Fail
Female,24,44,5.2,25,D,17,Fail
Male,18,59.7,5.8,37.9,C,12,Fail
Female,24,68.8,7,34,C,8,Pass
Male,18,93.8,9,45,B,2,Pass
Male,19,79.6,11.6,46,B,5,Pass
Female,24,59.5,13,41,C,11,Pass
Female,17,67.7,15.3,47,B,10,Pass
Male,21,78.8,6.5,37,C,6,Pass
Female,20,74.5,6.6,36,B,8,Pass
Male,17,54.5,15.3,42,B,14,Pass
Female,24,66.4,3.9,32,C,9,Fail
Female,23,54.8,9.5,38,C,13,Pass
Male,18,58.8,12.8,43,B,11,Pass
Male,17,75.6,3.4,33,B,7,Fail
Male,22,44.3,16,43,A,15,Pass
Female,22,79.2,8.4,41,B,6,Pass
Female,17,85.7,13.3,50,A,3,Pass
Male,19,65.5,9.7,42,A,10,Pass
Female,23,40,2.4,20,F,19,Fail
Male,18,40,13.2,36,C,17,Pass
Female,23,40,10.6,32,C,18,Fail
Female,18,61.9,11.4,40,B,10,Pass
Male,23,48.6,7.9,33,B,15,Fail
Female,24,65.1,10.7,40,B,11,Pass
Female,23,56.2,11.6,39,B,13,Pass
Female,17,40,5.8,28,D,17,Fail
Female,17,51.4,12.6,43,A,14,Pass
Male,24,92.5,5.7,44,A,2,Pass
Female,19,81.5,10.6,47,B,6,Pass
Female,21,47.9,10,35,B,16,Fail
Male,21,87.6,14.1,50,A,4,Pass
Female,24,40,4,21,F,20,Fail
Female,21,61.1,11.7,41,B,11,Pass
Female,22,40,13.9,41,B,17,Pass
Male,24,92.9,9,50,B,1,Pass
Female,17,52.1,15.9,46,A,13,Pass
Female,18,68.7,11.2,44,A,8,Pass
Male,23,85.5,11.2,48,A,3,Pass
Male,22,56.1,13.4,42,A,13,Pass
Female,22,85.1,14.3,50,A,4,Pass
Male,19,80,8.2,39,C,6,Pass
Male,19,40,12.5,35,C,18,Fail
Male,20,40,9.7,30,C,19,Fail
Male,23,98.8,6.1,45,A,1,Pass
Male,17,62.1,15.8,50,B,10,Pass
Male,17,98.1,10.2,47,A,0,Pass
Female,23,94.1,11.8,50,A,2,Pass
Male,19,58.7,9.5,39,B,12,Pass
Male,17,51.4,5.4,30,C,13,Fail
Male,17,97.3,11.9,50,B,0,Pass
Female,18,98.7,12.8,50,A,0,Pass
Female,24,96.5,9.2,48,B,1,Pass
Male,20,96.4,12.4,50,A,0,Pass
Male,17,40,9.7,29,D,20,Fail
Female,18,93.9,9,49,A,1,Pass
Female,21,40.2,6.6,27,D,17,Fail
Female,22,51.5,10.3,37,B,15,Pass
Female,17,100,15.3,50,B,0,Pass
Female,17,87.7,15.6,50,A,4,Pass
Female,24,93.6,15.6,50,B,2,Pass
Male,20,68.4,6.1,34,C,10,Pass
Male,19,40,12.9,34,C,18,Fail
Male,24,74.8,6.3,34,C,8,Pass
Female,19,79.2,3.3,33,B,7,Pass
Male,23,42.5,14,37,C,17,Pass
Male,20,57,3.8,29,C,12,Fail
Male,18,40,4.8,21,F,20,Fail
Female,23,59.5,8.9,34,B,12,Pass
Male,17,40,10.6,31,D,19,Fail
Female,19,40,7.9,28,C,20,Fail
Female,22,42.6,14.8,39,B,16,Pass
Female,17,47.7,13.3,41,B,15,Pass
Female,17,76.1,12.7,50,B,7,Pass
Male,20,64.8,10.3,37,C,11,Pass
Male,24,64.5,9.6,42,A,5,Pass
Female,20,66.7,13.3,47,B,10,Pass
Male,18,65.2,13.9,44,B,11,Pass
Male,23,48.7,13.1,38,C,15,Pass
Female,21,100,3.8,43,B,0,Pass
Male,22,40,14.9,39,C,19,Pass
Female,19,95.6,10.9,50,B,2,Pass
Male,22,91.3,5.6,38,C,3,Pass
Female,23,54.8,6.9,32,B,12,Fail
Female,17,86.1,6.5,39,C,3,Pass
Male,22,40,10.3,33,C,19,Fail
Male,17,82.8,3.4,34,C,6,Pass
Female,24,57.5,4.2,27,D,11,Fail
Female,18,88,8.6,44,B,3,Pass
Female,19,57,7.2,33,C,12,Fail
Male,19,86.2,12.5,49,B,3,Pass
Female,23,48.1,15.5,41,C,15,Pass
Male,18,48.4,15.3,46,A,14,Pass
Female,20,40,16,41,C,20,Pass
Female,23,72.2,9.7,44,A,8,Pass
Female,18,86.5,7.8,43,A,4,Pass
Female,22,71.1,14.3,48,B,8,Pass
Female,17,66.5,7.5,34,C,10,Pass
Female,21,50.4,5.9,30,C,15,Fail
Female,21,40,12.2,33,B,19,Fail
Female,17,79,9.2,44,B,5,Pass
Male,19,81.7,4.7,35,C,6,Pass
Female,24,40,9.1,31,C,20,Fail
Female,22,74,6.8,38,C,8,Pass
Male,20,77.2,11.1,45,A,6,Pass
Female,19,40,11.1,31,D,19,Fail
Female,22,64.5,8.4,42,B,6,Pass
Female,21,89.4,6.2,40,C,3,Pass
Female,20,78.7,4.1,36,C,7,Pass
Female,21,53.7,5.6,31,C,13,Fail
Female,22,85.2,9.1,46,A,5,Pass
Male,22,74.3,11.2,46,B,7,Pass
Female,24,43.9,13.9,41,B,15,Pass
Female,21,83.1,7.8,40,C,4,Pass
Male,22,84.7,14.1,50,A,5,Pass
Male,19,82.4,10.1,47,A,5,Pass
Female,24,96.8,7.4,47,A,1,Pass
Male,17,73.3,10.8,46,B,7,Pass
Male,18,72.1,13.5,46,B,9,Pass
Female,22,86.1,9,50,B,5,Pass
Male,17,79.5,10.3,46,A,5,Pass
Male,17,40,11.3,30,C,20,Fail
Female,19,40,4.9,23,D,20,Fail
Male,23,89.6,13.6,50,B,3,Pass
Male,21,77.9,13.6,49,A,6,Pass
Female,22,100,5.3,45,B,0,Pass
Male,21,54.9,11,37,C,14,Pass
Female,22,64.4,9,42,A,10,Pass
Female,22,40,14.5,40,C,19,Pass
Female,21,49.9,13.7,41,B,15,Pass
Male,18,40,7.8,29,D,18,Fail
Male,19,44.4,8.8,37.9,B,15,Fail
Male,22,40,9.3,31,C,19,Fail
Male,17,82.5,2.2,33,C,5,Pass
Male,22,96.6,15.6,50,B,1,Pass
Female,18,49.5,14,44,A,14,Pass
Male,18,40,13.1,38,B,19,Pass
Male,20,65.5,13.8,46,B,10,Pass
Male,20,64.1,2,30,D,11,Fail
Male,24,51.4,4,28,C,13,Fail
Male,22,50.9,3.5,27,C,13,Fail
Male,24,96.9,2.1,37,C,1,Pass
Male,19,40,3.4,21,F,19,Fail
Male,21,68.8,7.6,36,B,10,Pass
Female,22,41.6,12,34,C,17,Fail
Male,22,62,11.9,42,B,11,Pass
Female,17,99,9.3,46,A,0,Pass
Female,21,98,4,39,B,1,Pass
Male,23,70,5.3,31,D,9,Fail
Female,17,69.6,2.2,32,C,8,Fail
Female,20,77.4,12.9,46,A,6,Pass
Female,17,40,9,27,D,17,Fail
Male,19,40,15,42,B,19,Pass
Female,20,40.5,15.4,41,C,16,Pass
Male,22,66.2,6.6,37,C,9,Pass
Male,18,48.9,11.4,38,B,14,Pass
Male,23,64.7,5.6,34,C,9,Fail
Female,20,96.6,6.5,41,B,2,Pass
Male,23,79.3,13.7,50,B,6,Pass
Male,17,61.3,8.4,34,B,10,Pass
Male,21,52,7.7,37.9,B,14,Fail
Male,17,91.9,11.8,50,B,2,Pass
Female,23,99.8,7.5,46,A,0,Pass
Female,19,64.5,6.2,28,C,20,Fail
Male,21,59.2,4.9,33,B,11,Fail
Male,18,40,4.5,26,D,18,Fail
Female,18,40,4.8,23,D,18,Fail
Male,20,49.6,6.4,31,C,14,Fail
Female,19,77.8,2.1,33,C,7,Fail
Female,24,63.7,8.5,37,B,11,Pass
Male,20,40,5.7,22,D,20,Fail
Female,20,40,14.7,42,B,17,Pass
Female,19,40.7,8.5,30,C,16,Fail
Male,19,83,8.2,43,A,5,Pass
Male,24,71,5.2,32,B,8,Pass
Female,17,40,2.6,21,F,20,Fail
Male,23,62.2,11.2,43,A,11,Pass
Female,22,61.4,13.4,44,A,11,Pass
Male,21,79.8,5,38,B,5,Pass
Male,24,45.2,11.5,34,C,15,Pass
Male,19,99.6,10.8,49,A,1,Pass
Male,21,78.6,15.3,50,B,6,Pass
Male,21,68.4,4.3,32,B,10,Fail
Male,23,40,13.6,37,B,19,Pass
Male,24,40,11.2,30,D,19,Fail
Female,20,49.8,15.1,42,A,15,Pass
Male,21,40,10.4,37.9,C,17,Fail
Male,22,86.7,7.7,44,B,3,Pass
Female,23,54.9,12.6,41,B,13,Pass
Female,22,59.9,12.8,44,A,12,Pass
Male,18,60.3,5,37.9,B,12,Fail
Male,19,40,8.6,27,C,19,Fail
Female,21,40,12,36,B,19,Fail
Female,20,40,2.5,21,D,19,Fail
Male,18,56.8,16,46,A,12,Pass
Male,21,43.8,12.2,35,C,17,Fail
Female,17,54.5,5.7,31,D,13,Fail
Female,21,58.5,11.7,42,B,12,Pass
Male,24,92.1,3.6,40,B,2,Pass
Female,17,70,11.8,42,B,8,Pass
Female,20,69.5,14.5,50,A,8,Pass
Female,20,78.2,5.2,35,B,7,Pass
Female,17,44.2,12.7,39,C,17,Pass
Female,24,42.2,4.6,24,C,16,Fail
Male,22,64.5,7.5,39,C,5,Pass
Female,18,40,6.6,25,D,19,Fail
Female,19,78.4,9,44,B,6,Pass
Male,20,74.4,13.4,48,B,8,Pass
Female,17,44.6,4.5,28,D,15,Fail
Male,23,79,3.4,36,C,5,Pass
Female,22,44,7,27,C,17,Fail
Male,19,67.3,15.7,50,B,9,Pass
Female,24,88.9,10.8,48,B,4,Pass
Male,18,74,4.3,35,C,7,Pass
Female,24,85.3,7.8,40,B,5,Pass
Male,20,86.3,4.3,41,C,3,Pass
Male,18,82.7,5.7,42,B,4,Pass
Male,19,78.7,9.4,44,B,5,Pass
Female,24,40,3.9,24,D,17,Fail
Female,24,64.5,9.6,46,B,2,Pass
Male,22,40,6,29,D,17,Fail
Male,17,78.3,9.7,44,B,6,Pass
Female,20,55.5,5.7,30,D,13,Fail
Female,20,79.6,13.9,48,B,5,Pass
Male,22,100,2.3,35,B,1,Pass
Male,20,99.9,3.3,39,C,0,Pass
Male,22,82.4,3.1,37,B,4,Pass
Female,23,93.3,13.6,50,B,3,Pass
Male,20,89.7,8.5,48,B,3,Pass
Male,17,40.7,12.4,35,C,17,Fail
Male,18,53.1,5.3,27,D,13,Fail
Male,24,85,11.6,46,A,4,Pass
Male,17,87.6,7,43,A,4,Pass
Female,24,100,12.3,50,A,0,Pass
Female,24,82.8,4.7,36,C,5,Pass
Male,18,49.4,9.4,33,C,14,Fail
Male,17,63.7,10.7,39,B,11,Pass
Female,19,64.3,10.6,39,B,10,Pass
Male,19,75.9,14.2,48,A,6,Pass
Female,17,40,7.1,24,C,19,Fail
Female,17,57.1,7.1,34,B,13,Fail
Male,21,82.7,3.1,32,B,6,Pass
Male,19,40,9.8,30,D,17,Fail
Male,19,40,13.1,36,B,17,Pass
Female,22,56.6,13.8,42,B,13,Pass
Female,22,54.7,15.5,41,B,14,Pass
Female,17,73.2,6.2,36,C,7,Pass
Male,18,58.7,2.5,26,C,11,Fail
Female,20,67.3,12.3,42,A,10,Pass
Female,18,63.8,12.9,46,B,10,Pass
Male,23,40.3,2.8,22,D,16,Fail
Female,24,40,12.5,34,C,18,Fail
Female,17,68.7,9.7,41,B,8,Pass
Female,20,42,9.9,31,D,16,Fail
Female,23,77.6,7.1,40,B,6,Pass
Female,19,73.1,8.2,39,B,7,Pass
Male,21,87.9,2.2,35,C,3,Pass
Female,24,87.6,10.7,48,B,4,Pass
Male,17,40,6,25,C,19,Fail
Female,18,40,2.3,22,D,20,Fail
Male,19,51.5,4.8,29,C,14,Fail
Female,19,60.3,2.3,26,D,11,Fail
Male,21,68.2,5.2,34,B,10,Fail
Male,23,85.4,5.4,38,C,4,Pass
Male,19,47.3,6.3,28,C,16,Fail
Male,18,87.8,4.6,40,C,4,Pass
Female,19,86.6,12.9,48,B,3,Pass
Male,17,44.6,7,32,C,15,Fail
Female,24,76.8,3.9,34,B,6,Pass
Male,20,53.9,2.9,25,D,14,Fail
Male,23,58.9,12.1,42,A,12,Pass
Male,20,61.9,9.3,34,C,12,Pass
Female,24,70.7,7.6,36,B,9,Pass
Male,24,47.7,13.6,41,B,14,Pass
Male,23,47.2,7.8,32,B,14,Fail
Male,18,52.1,3.3,23,F,14,Fail
Male,23,98.6,9.7,50,A,1,Pass
Male,23,64.5,6.3,28,C,14,Fail
Male,24,47.8,9,30,D,15,Fail
Female,24,40,3.1,23,F,19,Fail
Male,19,40,4.1,20,D,20,Fail
Male,17,79.8,3.5,33,B,5,Pass
Male,18,63.9,12.8,43,A,10,Pass
Female,19,70.6,3.7,32,B,8,Fail
Male,24,40,12.1,38,C,19,Fail
Female,19,47.7,10.6,36,C,15,Pass
Female,20,99.7,2,40,B,0,Pass
Female,22,40,9.8,32,C,20,Fail
Female,17,63.7,3.6,31,C,10,Fail
Female,24,40,13.2,34,C,20,Fail
Female,17,69,13.7,47,A,9,Pass
Female,18,74.7,15.6,50,B,8,Pass
Female,19,70.1,10.3,40,B,9,Pass
Female,24,66.2,13.6,45,A,9,Pass
Male,24,50.7,9.1,32,C,15,Fail
Female,19,92.1,12.8,50,A,3,Pass
